City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,4.16,67,100,12.53,TF,1686459062
1,margaret river,-33.95,115.0667,13.51,62,97,8.98,AU,1686459062
2,pacasmayo,-7.4006,-79.5714,21.72,83,14,5.84,PE,1686459062
3,papatowai,-46.5619,169.4708,9.02,83,60,1.58,NZ,1686459440
4,veinticinco de mayo,-35.4323,-60.1727,4.97,56,0,5.51,AR,1686459440
5,tocopilla,-22.092,-70.1979,16.18,78,21,2.9,CL,1686458821
6,albany,42.6001,-73.9662,13.03,88,54,0.45,US,1686458790
7,persembe,41.0656,37.7714,19.89,84,77,0.52,TR,1686459440
8,waitangi,-43.9535,-176.5597,11.01,63,100,5.16,NZ,1686459441
9,mount pearl,47.5166,-52.7813,7.3,97,100,3.6,CA,1686459441
10,grytviken,-54.2811,-36.5092,0.64,86,97,4.3,GS,1686459064
11,hithadhoo,-0.6,73.0833,28.69,73,45,3.28,MV,1686459065
12,petropavlovsk-kamchatsky,53.0452,158.6483,20.33,32,75,6.0,RU,1686459442
13,alice springs,-23.7,133.8833,22.75,27,100,0.51,AU,1686459442
14,mchinji,-13.7984,32.8802,15.74,73,8,1.4,MW,1686459442
15,adamstown,-25.066,-130.1015,20.67,56,85,7.02,PN,1686459066
16,lyantor,61.6195,72.1555,12.5,86,100,8.14,RU,1686459066
17,saudarkrokur,65.7461,-19.6394,6.24,69,26,8.66,IS,1686459066
18,udachny,66.4167,112.4,3.03,100,100,10.09,RU,1686459066
19,tsiombe,-25.3,45.4833,19.64,82,0,1.82,MG,1686459067
20,yellowknife,62.456,-114.3525,19.2,72,100,2.68,CA,1686459067
21,luderitz,-26.6481,15.1594,11.22,81,0,3.13,NA,1686459067
22,usogorsk,63.4106,48.6872,4.22,70,62,4.58,RU,1686459068
23,geneina,13.45,22.45,23.93,68,100,1.34,SD,1686459068
24,aginskoye,51.1,114.53,22.82,38,48,2.83,RU,1686459068
25,klyuchi,52.2667,79.1667,20.58,40,1,4.78,RU,1686459068
26,nova sintra,14.8667,-24.7167,21.79,83,10,9.5,CV,1686459069
27,porto franco,-6.3383,-47.3992,25.37,65,85,1.04,BR,1686459069
28,codrington,-38.2667,141.9667,15.62,62,67,5.1,AU,1686459069
29,enewetak,11.3474,162.3373,28.01,80,100,6.88,MH,1686459070
30,boa vista,2.8197,-60.6733,26.99,83,40,2.06,BR,1686459070
31,avarua,-21.2078,-159.775,24.03,88,3,1.03,CK,1686459070
32,isafjordur,66.0755,-23.124,6.19,77,81,6.07,IS,1686459070
33,badger,64.8,-147.5333,20.28,44,20,3.6,US,1686459071
34,lompoc,34.6391,-120.4579,16.55,89,100,3.09,US,1686458831
35,woodmoor,39.1014,-104.8475,12.14,70,75,0.45,US,1686459071
36,dudinka,69.4058,86.1778,11.46,37,87,5.14,RU,1686459071
37,bouarfa,32.53,-1.95,18.99,44,0,5.85,MA,1686459072
38,talnakh,69.4865,88.3972,11.23,41,54,2.83,RU,1686459072
39,bethel,41.3712,-73.414,17.64,80,0,1.54,US,1686458815
40,misratah,32.3754,15.0925,21.69,78,46,7.3,LY,1686459072
41,chonchi,-42.6128,-73.8092,3.95,88,44,1.24,CL,1686458900
42,kingscliff,-28.2667,153.5667,22.07,49,14,3.09,AU,1686459073
43,berezovyy,51.6667,135.7,14.76,94,100,1.58,RU,1686459073
44,murun-kuren,49.6342,100.1625,26.24,33,22,1.27,MN,1686459073
45,harper,4.375,-7.7169,25.23,85,100,4.7,LR,1686459073
46,west island,-12.1568,96.8225,26.99,83,75,12.27,CC,1686459074
47,puerto ayora,-0.7393,-90.3518,26.42,89,77,3.58,EC,1686459074
48,annonay,45.2397,4.6708,18.79,92,6,1.64,FR,1686459074
49,yuzhno-kurilsk,44.0306,145.8556,13.15,85,91,3.81,RU,1686459075
50,n'zeto,-7.2312,12.8666,21.92,94,99,2.16,AO,1686459075
51,caleta de carquin,-11.0925,-77.6267,20.15,84,56,3.93,PE,1686459075
52,hasaki,35.7333,140.8333,22.94,92,98,4.05,JP,1686459075
53,jamestown,42.097,-79.2353,17.77,74,0,2.06,US,1686459075
54,hawaiian paradise park,19.5933,-154.9731,24.73,84,0,3.6,US,1686459076
55,xining,36.6167,101.7667,19.97,35,100,5.28,CN,1686459076
56,tiksi,71.6872,128.8694,0.32,97,100,4.86,RU,1686459076
57,bilibino,68.0546,166.4372,21.19,18,0,4.43,RU,1686459076
58,lorengau,-2.0226,147.2712,29.1,74,83,2.5,PG,1686459077
59,celestun,20.8667,-90.4,25.91,88,1,4.15,MX,1686459077
60,inhambane,-23.865,35.3833,19.73,70,0,2.81,MZ,1686459077
61,brisas de zicatela,15.8369,-97.0419,28.41,79,99,1.34,MX,1686459077
62,west plains,36.7281,-91.8524,21.46,89,20,2.68,US,1686459078
63,iqaluit,63.7506,-68.5145,0.85,86,75,2.06,CA,1686459078
64,atafu village,-8.5421,-172.5159,28.78,77,35,4.76,TK,1686459078
65,pisco,-13.7,-76.2167,16.68,82,0,2.57,PE,1686459079
66,colonia,50.9333,6.95,22.12,65,0,1.54,DE,1686459001
67,vorgashor,67.5833,63.95,5.43,83,99,7.6,RU,1686459079
68,minas de marcona,-15.2119,-75.1103,12.0,89,57,5.77,PE,1686459080
69,kolwezi,-10.7148,25.4667,13.74,58,70,2.26,CD,1686459080
70,anadyr,64.75,177.4833,5.28,75,75,5.0,RU,1686459080
71,pokhara,28.2333,83.9833,32.65,36,35,2.6,NP,1686459080
72,puerto natales,-51.7236,-72.4875,2.92,71,75,5.67,CL,1686459081
73,aileu,-8.7281,125.5664,25.17,56,70,1.76,TL,1686459081
74,ilulissat,69.2167,-51.1,0.01,100,100,5.66,GL,1686459081
75,prince rupert,54.3161,-130.3201,12.05,88,0,8.23,CA,1686459047
76,ushuaia,-54.8,-68.3,0.81,80,100,15.43,AR,1686459082
77,rongelap,11.1635,166.8941,27.75,81,100,6.75,MH,1686459082
78,kashary,49.04,41.0056,18.56,73,100,6.36,RU,1686459083
79,nueva guinea,11.6876,-84.4562,24.05,92,90,1.74,NI,1686459083
80,chui,-33.6971,-53.4616,8.13,68,73,2.99,UY,1686459083
81,chadron,42.8294,-102.9999,14.98,92,100,4.12,US,1686459018
82,blackmans bay,-43.0167,147.3167,15.41,68,57,1.76,AU,1686459084
83,koulikoro,14.0,-7.75,28.69,46,79,5.34,ML,1686459084
84,college,64.8569,-147.8028,20.32,44,75,3.6,US,1686459084
85,whitehorse,60.7161,-135.0538,15.57,38,40,7.72,CA,1686459055
86,edinburgh of the seven seas,-37.0676,-12.3116,15.5,90,37,9.27,SH,1686459085
87,kourou,5.1552,-52.6478,23.03,92,78,2.92,GF,1686459085
88,kingston,17.997,-76.7936,28.53,83,20,5.14,JM,1686459085
89,pangkalpinang,-2.1333,106.1333,31.74,55,16,4.54,ID,1686459085
90,muisne,0.6,-80.0333,25.55,85,97,1.08,EC,1686459086
91,aripuana,-9.1667,-60.6333,23.83,78,67,0.58,BR,1686459086
92,geraldton,-28.7667,114.6,19.23,63,100,8.23,AU,1686459086
93,quezon,7.7303,125.0989,31.73,56,84,2.09,PH,1686459087
94,impfondo,1.6381,18.0667,20.82,92,100,0.27,CG,1686459087
95,elliot lake,46.3834,-82.6331,8.34,85,71,5.15,CA,1686459087
96,kodiak,57.79,-152.4072,7.73,93,100,13.38,US,1686459087
97,mount isa,-20.7333,139.5,28.87,23,3,2.57,AU,1686459088
98,nuriootpa,-34.4833,139.0,17.65,49,10,3.37,AU,1686459029
99,fort bragg,35.139,-79.006,22.85,56,0,3.6,US,1686459088
100,takaungu,-3.6837,39.8566,24.27,83,86,5.46,KE,1686459088
101,mount gambier,-37.8333,140.7667,15.3,58,51,3.9,AU,1686459463
102,la rinconada,37.4873,-5.9826,18.92,91,37,1.32,ES,1686459040
103,sydney mines,46.2367,-60.2177,10.5,91,75,5.66,CA,1686459089
104,queenstown,-31.8976,26.8753,5.71,64,0,3.06,ZA,1686459089
105,anthiyur,11.5833,77.6,33.51,46,59,0.51,IN,1686459090
106,hajjah,15.6943,43.6058,25.08,38,84,0.46,YE,1686459090
107,invercargill,-46.4,168.35,9.66,91,78,2.62,NZ,1686459015
108,hindoria,23.9,79.5667,40.17,19,3,6.31,IN,1686459091
109,georgetown,5.4112,100.3354,31.97,70,20,5.14,MY,1686459091
110,mashava,-20.0367,30.4823,15.57,79,62,2.37,ZW,1686459091
111,acarau,-2.8856,-40.12,24.64,88,1,4.65,BR,1686459092
112,ivankiv,50.9386,29.8943,10.31,94,100,7.14,UA,1686459092
113,punta arenas,-53.15,-70.9167,3.06,70,20,7.2,CL,1686458848
114,bredasdorp,-34.5322,20.0403,9.84,77,10,2.08,ZA,1686459092
115,howrah,22.5892,88.3103,33.0,75,40,4.12,IN,1686459466
116,fale old settlement,-9.3852,-171.2468,28.9,76,38,4.79,TK,1686459093
117,multai,21.7667,78.25,34.93,30,3,6.27,IN,1686459093
118,amga,60.8953,131.9608,23.91,35,72,2.54,RU,1686459093
119,vilyuysk,63.7553,121.6247,25.79,53,100,5.74,RU,1686459094
120,harnosand,62.6323,17.9379,11.0,49,19,3.21,SE,1686459094
121,aykhal,66.0,111.5,1.05,97,100,10.18,RU,1686459094
122,utrik,11.2278,169.8474,27.84,78,83,6.82,MH,1686459094
123,elhovo,42.1667,26.5667,17.31,79,3,2.14,BG,1686459095
124,qarazhal,48.0078,70.7903,24.68,24,0,6.39,KZ,1686459095
125,villa gesell,-37.2639,-56.973,3.36,70,7,7.66,AR,1686458997
126,hancheng,32.5186,112.3522,35.98,27,100,3.41,CN,1686459095
127,old town,50.087,14.4202,16.29,82,0,1.79,CZ,1686459095
128,idabel,33.8957,-94.8263,19.97,94,100,2.57,US,1686459096
129,benjamin constant,-4.3831,-70.0311,24.07,99,77,0.29,BR,1686459096
130,al qabil,22.571,58.6947,39.55,13,94,2.88,OM,1686459096
131,thompson,55.7435,-97.8558,17.09,36,20,3.09,CA,1686459071
132,kapuskasing,49.4169,-82.4331,7.0,87,100,3.09,CA,1686458941
133,birobidzhan,48.8,132.95,25.87,50,4,4.09,RU,1686458903
134,colby,39.3958,-101.0524,16.29,90,100,11.18,US,1686459097
